jmdict_id,kanji,reading,jlpt_level,frequency_rank,source
1170660,隠れる,かくれる,3,683,waller
1535850,戻す,もどす,3,684,waller
1390420,戦闘,せんとう,2,685,audit
1004880,,こんな,5,686,waller
1236750,恐怖,きょうふ,3,687,waller
1515120,母親,ははおや,3,688,waller
1532710,迷う,まよう,5,689,frequency
1224880,宜しい,よろしい,4,690,waller
1193610,火,ひ,4,691,waller
1220800,機会,きかい,4,692,waller
1006730,而して,そして,5,693,waller
1236690,恐ろしい,おそろしい,3,694,waller
1012480,,もう,5,695,waller
1323560,借りる,かりる,5,696,waller
1203270,外す,はずす,3,697,waller
1005900,,じゃあ,5,698,waller
1000580,彼,あれ,5,699,waller
1418620,短い,みじかい,5,700,waller
1221740,気に入る,きにいる,3,701,waller
1481920,煩い,うるさい,5,702,waller
1448860,当てる,あてる,3,703,waller
1008910,如何,どう,5,704,waller
1497680,父親,ちちおや,3,705,waller
1584060,包む,つつむ,4,706,waller
2831360,包む,くるむ,2,707,waller
1587590,今まで,いままで,5,708,frequency
1524590,妹,いもうと,5,709,waller
1587310,位置,いち,3,710,waller
1408810,打つ,うつ,4,711,waller
1408815,打つ,ぶつ,3,712,waller
1535440,目指す,めざす,2,713,waller
1484150,秘密,ひみつ,3,714,waller
1463520,肉,にく,5,715,waller
1346230,勝負,しょうぶ,3,716,audit
1532310,明らか,あきらか,3,717,waller
1469870,悩む,なやむ,3,718,waller
1333750,集中,しゅうちゅう,3,719,waller
1611610,間違う,まちがう,4,720,audit
1590145,影,かげ,3,721,waller
1475480,薄い,うすい,5,722,waller
1007660,,ちゃん,4,723,waller
1217950,願う,ねがう,3,724,waller
1199720,回復,かいふく,3,725,waller
1552120,流す,ながす,3,726,waller
